打赏时间,用户ID,用户昵称,主播ID,主播昵称,金额(元),支付方式
2026-08-10 21:35,U10086,张同学,Z001,大熊,66,微信支付
2026-08-10 22:01,U10086,张同学,Z002,小鱼,30,微信支付
2026-08-11 20:15,U10086,张同学,Z001,大熊,188,微信支付
2026-08-11 21:40,U10086,张同学,Z003,阿哲,520,支付宝
2026-08-12 19:50,U10086,张同学,Z004,甜甜,100,微信支付
2026-08-12 22:30,U10086,张同学,Z001,大熊,520,支付宝
2026-08-13 20:05,U10086,张同学,Z002,小鱼,66,微信支付
2026-08-13 21:20,U10086,张同学,Z003,阿哲,1314,支付宝
2026-08-14 19:45,U10086,张同学,Z001,大熊,88,微信支付
2026-08-14 22:10,U10086,张同学,Z004,甜甜,200,微信支付
2026-08-15 20:30,U10086,张同学,Z002,小鱼,288,支付宝
2026-08-15 21:55,U10086,张同学,Z001,大熊,999,支付宝
2026-08-03 20:00,U20001,李女士,Z001,大熊,200,微信支付
2026-08-05 21:00,U20001,李女士,Z002,小鱼,100,微信支付
2026-08-09 22:00,U20001,李女士,Z005,老王,500,支付宝
2026-08-04 20:30,U20002,王先生,Z003,阿哲,66,微信支付
2026-08-06 21:30,U20002,王先生,Z004,甜甜,300,支付宝
2026-08-10 22:20,U20002,王先生,Z001,大熊,88,微信支付
2026-08-07 19:00,U20003,未成年人小明,Z001,大熊,520,苹果内购
2026-08-08 20:00,U20003,未成年人小明,Z003,阿哲,999,苹果内购
2026-08-09 21:00,U20003,未成年人小明,Z004,甜甜,666,苹果内购
2026-08-10 22:00,U20003,未成年人小明,Z002,小鱼,88,苹果内购
2026-08-01 21:00,U20004,陈先生,Z005,老王,1000,银行卡
2026-08-02 22:00,U20004,陈先生,Z005,老王,200,微信支付
2026-08-03 23:00,U20004,陈先生,Z003,阿哲,100,微信支付
2026-08-02 20:00,U20005,刘女士,Z002,小鱼,50,微信支付
2026-08-04 21:00,U20005,刘女士,Z004,甜甜,120,微信支付
2026-08-06 22:00,U20005,刘女士,Z001,大熊,66,微信支付
2026-08-05 20:00,U20006,赵先生,Z003,阿哲,200,支付宝
2026-08-07 21:00,U20006,赵先生,Z005,老王,300,微信支付
2026-08-11 22:00,U20006,赵先生,Z002,小鱼,88,微信支付
2026-08-13 20:00,U20006,赵先生,Z004,甜甜,66,微信支付
2026-08-08 20:00,U20007,孙女士,Z001,大熊,300,支付宝
2026-08-12 21:00,U20007,孙女士,Z005,老王,150,微信支付
2026-08-14 22:00,U20007,孙女士,Z003,阿哲,88,微信支付
2026-08-09 20:00,U20008,周先生,Z004,甜甜,200,微信支付
2026-08-15 21:00,U20008,周先生,Z002,小鱼,150,微信支付
2026-08-16 22:00,U20008,周先生,Z005,老王,100,微信支付
